Contact Name,ID,ID Type,TS Override
Sardegna,22202,Group,2
Umbria,22203,Group,2
Italy Centro,22208,Group,2
IT Radio Chat,22209,Group,2
Liguria,22211,Group,2
Piemonte,22212,Group,2
Valle dAosta,22213,Group,2
Lombardia,22221,Group,2
Friuli Venezia G,22231,Group,2
Trentino Alto Ad,22232,Group,2
Veneto,22233,Group,2
Emilia Romagna,22241,Group,2
Toscana,22251,Group,2
Abruzzo,22261,Group,2
Marche,22262,Group,2
Abruzzo Radio,22266,Group,2
IT Francavilla,22269,Group,2
Puglia,22271,Group,2
Basilicata,22281,Group,2
Calabria,22282,Group,2
Campania,22283,Group,2
Molise,22284,Group,2
IT C.I.S.A.R.,22287,Group,2
IT A.R.I.,22288,Group,2
IT E.R.A.,22289,Group,2
Sicilia,22291,Group,2
Italy-MP,22292,Group,2
Italy-Nord,22298,Group,2
Diaspora YO,22601,Group,2
LoRa YO,22602,Group,2
PensioNET,22603,Group,2
Zello YO,22610,Group,2
CW YO,22677,Group,2
YO Start,22691,Group,2
UA 1,22801,Group,2
UA 2,22802,Group,2
UA 3,22803,Group,2
UA 4,22804,Group,2
HB9-BM-WIRESX,22810,Group,2
Vaud,22811,Group,2
Geneve,22812,Group,2
Alpes Vaudoises,22813,Group,2
Alpes Valaisanne,22814,Group,2
Neuchâtel,22815,Group,2
Fribourg,22817,Group,2
Swiss-Italiana,22860,Group,2
Poschiavo,22877,Group,2
TAC 1 Austria,23200,Group,2
Suedtirol,23207,Group,2
P25 Austria,23225,Group,2
Vorarlberg Tech,23229,Group,2
BM OE,23290,Group,2
TAC 2 Austria,23299,Group,2
East Anglia,23490,Group,2
S.West,23500,Group,2
S.East,23510,Group,2
Guernsey,23515,Group,2
Jersey,23516,Group,2
N.West,23520,Group,2
Hubnet UK,23526,Group,2
Yorkshire,23530,Group,2
RAYNET UK,23531,Group,2
Ireland Chat,23540,Group,2
Scotland Chat,23550,Group,2
Scotland East,23557,Group,2
Scotland Highlan,23558,Group,2
Scotland West,23559,Group,2
North East,23560,Group,2
